1GAT[0] PRI_INPUT (6254,4680)
n134 na2a0 (5783,3000)~1.50553e-09ns  n133{207}~7.52205e-10ns  n131{91}~5.51122e-10ns 
n135 na2a0 (5874,3000)~1.50553e-09ns  Buffer_273GAT[16]_8_n135{380}~1.04695e-09ns  Buffer_69GAT[4]_20_n135{385}~1.0553e-09ns 
n136 na2a0 (5877,3200)~1.50553e-09ns  n135{203}~7.45281e-10ns  n129{218}~7.7123e-10ns 
n137 na3a0 (5708,3200)~2.42708e-09ns  n136{169}~6.8633e-10ns  n134{275}~8.69302e-10ns  n130{108}~5.80507e-10ns 
n138 na3a0 (5791,3300)~2.42708e-09ns  n135{383}~1.05196e-09ns  n129{232}~7.95402e-10ns  Buffer_n84_3_n138{322}~9.49354e-10ns 
n139 na3a0 (5960,3300)~2.42708e-09ns  n138{169}~6.8633e-10ns  n137{352}~1.00001e-09ns  n128{305}~9.20494e-10ns 
n140 nota0 (5952,3100)~0ns  n128{113}~5.89164e-10ns 
n141 na2a0 (5900,3400)~1.50553e-09ns  n138{209}~7.55666e-10ns  n137{392}~1.06698e-09ns 
n142 na2a0 (5874,3600)~1.50553e-09ns  n141{226}~7.85049e-10ns  Buffer_n140_0_n142{289}~8.93232e-10ns 
n143 na3a0 (5783,4200)~2.42708e-09ns  Buffer_n142_0_n143{345}~9.88219e-10ns  Buffer_n139_1_n143{359}~1.01177e-09ns  n127{169}~6.8633e-10ns 
n144 nota0 (5900,4300)~0ns  Buffer_n107_1_n144{301}~9.13687e-10ns 
n145 no2a0 (5913,4300)~1.50553e-09ns  n111{230}~7.91952e-10ns  n110{216}~7.67773e-10ns 
n146 no2a0 (5809,4300)~1.50553e-09ns  n145{104}~5.73585e-10ns  n144{91}~5.51122e-10ns 
n147 na2a0 (5692,4200)~1.50553e-09ns  Buffer_n142_0_n147{391}~1.06531e-09ns  Buffer_n139_1_n147{389}~1.06198e-09ns 
n148 na2a0 (5718,4300)~1.50553e-09ns  n147{126}~6.11695e-10ns  n146{91}~5.51122e-10ns 
n149 na3a0 (5718,4500)~2.42708e-09ns  n148{200}~7.40086e-10ns  n143{365}~1.02184e-09ns  n126{13}~4.18116e-10ns 
n150 na2a0 (5665,4400)~1.50553e-09ns  n148{153}~6.58554e-10ns  n143{318}~9.42573e-10ns 
n151 na2a0 (5770,4600)~1.50553e-09ns  n150{305}~9.20494e-10ns  n125{308}~9.25595e-10ns 
n152 na3a0 (5783,4900)~2.42708e-09ns  n151{313}~9.34089e-10ns  Buffer_n149_0_n152{232}~7.95402e-10ns  n124{204}~7.47013e-10ns 
n153 nota0 (5692,4800)~0ns  Buffer_n113_0_n153{232}~7.95402e-10ns 
n154 no2a0 (5705,4800)~1.50553e-09ns  n118{369}~1.02855e-09ns  n95{152}~6.56818e-10ns 
n155 no2a0 (5601,4800)~1.50553e-09ns  n154{104}~5.73585e-10ns  n153{91}~5.51122e-10ns 
n156 na2a0 (5692,4900)~1.50553e-09ns  n151{378}~1.04361e-09ns  Buffer_n149_0_n156{213}~7.62585e-10ns 
n157 na2a0 (5601,4900)~1.50553e-09ns  n156{91}~5.51122e-10ns  n155{100}~5.66668e-10ns 
n158 na3a0 (5393,4700)~2.42708e-09ns  Buffer_n157_0_n158{204}~7.47013e-10ns  Buffer_n152_0_n158{295}~9.03466e-10ns  n123{191}~7.24492e-10ns 
n159 na2a0 (5510,4900)~1.50553e-09ns  n157{91}~5.51122e-10ns  n152{273}~8.65878e-10ns 
n160 na2a0 (5497,4800)~1.50553e-09ns  n159{113}~5.89164e-10ns  n122{200}~7.40086e-10ns 
2548GAT[840] na2a0 (5406,4800)~1.50553e-09ns  n160{91}~5.51122e-10ns  n158{113}~5.89164e-10ns 
n162 nota0 (6017,600)~0ns  358GAT[21]{261}~5.26429e-10ns 
n163 no2a0 (4756,4700)~1.50553e-09ns  Buffer_n162_12_n163{382}~1.05029e-09ns  Buffer_n65_2_n163{301}~9.13687e-10ns 
n164 nota0 (4938,4900)~0ns  n163{382}~1.05029e-09ns 
n165 na2a0 (5315,4800)~1.50553e-09ns  n158{178}~7.01948e-10ns  Buffer_n152_0_n165{284}~8.84693e-10ns 
n166 no2a0 (5393,4600)~1.50553e-09ns  Buffer_n121_14_n166{399}~1.07863e-09ns  Buffer_n68_1_n166{315}~9.37484e-10ns 
n167 nota0 (5406,4500)~0ns  n166{113}~5.89164e-10ns 
n168 na2a0 (5614,4500)~1.50553e-09ns  n149{104}~5.73585e-10ns  Buffer_n143_0_n168{234}~7.98852e-10ns 
n169 no2a0 (5354,4100)~1.50553e-09ns  Buffer_n94_15_n169{389}~1.06198e-09ns  Buffer_n83_2_n169{305}~9.20494e-10ns 
n170 nota0 (5536,4100)~0ns  n169{182}~7.08887e-10ns 
n171 na2a0 (5718,3400)~1.50553e-09ns  n139{342}~9.83162e-10ns  n137{210}~7.57396e-10ns 
n172 na2a0 (5310,3300)~1.50553e-09ns  Buffer_307GAT[18]_10_n172{392}~1.06698e-09ns  Buffer_52GAT[3]_8_n172{393}~1.06864e-09ns 
n173 no2a0 (5536,3400)~1.50553e-09ns  Buffer_n70_6_n173{397}~1.0753e-09ns  Buffer_n132_8_n173{398}~1.07696e-09ns 
n174 na2a0 (5486,3100)~1.50553e-09ns  n173{350}~9.9664e-10ns  n103{182}~7.08887e-10ns 
n175 na2a0 (5279,2800)~1.50553e-09ns  Buffer_290GAT[17]_8_n175{378}~1.04361e-09ns  Buffer_69GAT[4]_18_n175{384}~1.05363e-09ns 
n176 nota0 (5679,3000)~0ns  Buffer_86GAT[5]_4_n176{335}~9.71347e-10ns 
n177 no2a0 (5552,2800)~1.50553e-09ns  Buffer_n66_5_n177{364}~1.02017e-09ns  n176{327}~9.57821e-10ns 
n178 na2a0 (5370,2800)~1.50553e-09ns  n177{182}~7.08887e-10ns  n175{91}~5.51122e-10ns 
n179 na2a0 (5585,3000)~1.50553e-09ns  Buffer_273GAT[16]_7_n179{390}~1.06364e-09ns  Buffer_86GAT[5]_4_n179{351}~9.98323e-10ns 
n180 na2a0 (5577,3100)~1.50553e-09ns  n179{108}~5.80507e-10ns  n173{341}~9.81475e-10ns 
n181 na3a0 (5317,3100)~2.42708e-09ns  n180{260}~8.43588e-10ns  n178{353}~1.00169e-09ns  n174{169}~6.8633e-10ns 
n182 na3a0 (5448,3200)~2.42708e-09ns  n179{337}~9.74725e-10ns  n173{288}~8.91525e-10ns  n103{320}~9.45964e-10ns 
n183 na3a0 (5279,3200)~2.42708e-09ns  n182{169}~6.8633e-10ns  n181{138}~6.32515e-10ns  n172{131}~6.20368e-10ns 
n184 nota0 (5401,3300)~0ns  n172{91}~5.51122e-10ns 
n185 na2a0 (5414,3300)~1.50553e-09ns  n182{134}~6.25573e-10ns  n181{297}~9.06875e-10ns 
n186 na2a0 (5445,3400)~1.50553e-09ns  n185{131}~6.20368e-10ns  n184{144}~6.42929e-10ns 
n187 na3a0 (5575,3500)~2.42708e-09ns  n186{230}~7.91952e-10ns  Buffer_n183_0_n187{298}~9.08578e-10ns  n171{243}~8.1436e-10ns 
n188 nota0 (5770,3600)~0ns  Buffer_n137_0_n188{231}~7.93677e-10ns 
n189 no2a0 (5783,3600)~1.50553e-09ns  n141{317}~9.40877e-10ns  Buffer_n140_0_n189{334}~9.69658e-10ns 
n190 no2a0 (5679,3600)~1.50553e-09ns  n189{104}~5.73585e-10ns  n188{91}~5.51122e-10ns 
n191 na2a0 (5484,3500)~1.50553e-09ns  n186{139}~6.3425e-10ns  Buffer_n183_0_n191{252}~8.29844e-10ns 
n192 na2a0 (5588,3600)~1.50553e-09ns  n191{204}~7.47013e-10ns  n190{91}~5.51122e-10ns 
n193 na3a0 (5549,4100)~2.42708e-09ns  Buffer_n192_0_n193{269}~8.59025e-10ns  Buffer_n187_0_n193{313}~9.34089e-10ns  n170{13}~4.18116e-10ns 
n194 na2a0 (5445,4100)~1.50553e-09ns  Buffer_n192_0_n194{321}~9.47659e-10ns  Buffer_n187_0_n194{365}~1.02184e-09ns 
n195 na2a0 (5406,4200)~1.50553e-09ns  n194{139}~6.3425e-10ns  n169{152}~6.56818e-10ns 
n196 na3a0 (5496,4400)~2.42708e-09ns  n195{290}~8.94938e-10ns  n193{353}~1.00169e-09ns  n168{218}~7.7123e-10ns 
n197 nota0 (5601,4500)~0ns  Buffer_n143_0_n197{241}~8.10915e-10ns 
n198 no2a0 (5679,4600)~1.50553e-09ns  n150{214}~7.64315e-10ns  n125{217}~7.69501e-10ns 
n199 no2a0 (5588,4600)~1.50553e-09ns  n198{91}~5.51122e-10ns  n197{113}~5.89164e-10ns 
n200 na2a0 (5517,4300)~1.50553e-09ns  n195{211}~7.59126e-10ns  n193{232}~7.95402e-10ns 
n201 na2a0 (5510,4500)~1.50553e-09ns  n200{207}~7.52205e-10ns  n199{178}~7.01948e-10ns 
n202 na3a0 (5327,4400)~2.42708e-09ns  n201{283}~8.82984e-10ns  n196{169}~6.8633e-10ns  n167{179}~7.03683e-10ns 
n203 na2a0 (5419,4500)~1.50553e-09ns  n201{91}~5.51122e-10ns  n196{177}~7.00213e-10ns 
n204 na2a0 (5211,4600)~1.50553e-09ns  n203{308}~9.25595e-10ns  n166{182}~7.08887e-10ns 
n205 na3a0 (5211,4700)~2.42708e-09ns  n204{100}~5.66668e-10ns  Buffer_n202_0_n205{208}~7.53936e-10ns  n165{204}~7.47013e-10ns 
n206 nota0 (5406,4900)~0ns  n152{377}~1.04194e-09ns 
n207 no2a0 (5419,4900)~1.50553e-09ns  n159{91}~5.51122e-10ns  n122{378}~1.04361e-09ns 
n208 no2a0 (5315,4900)~1.50553e-09ns  n207{104}~5.73585e-10ns  n206{91}~5.51122e-10ns 
n209 na2a0 (5224,4800)~1.50553e-09ns  n204{213}~7.62585e-10ns  Buffer_n202_0_n209{251}~8.28125e-10ns 
n210 na2a0 (5224,4900)~1.50553e-09ns  n209{100}~5.66668e-10ns  n208{91}~5.51122e-10ns 
n211 na3a0 (5042,4900)~2.42708e-09ns  n210{182}~7.08887e-10ns  n205{369}~1.02855e-09ns  n164{104}~5.73585e-10ns 
n212 na2a0 (4951,4900)~1.50553e-09ns  n210{273}~8.65878e-10ns  Buffer_n205_0_n212{230}~7.91952e-10ns 
n213 na2a0 (4756,4900)~1.50553e-09ns  n212{195}~7.31425e-10ns  n163{200}~7.40086e-10ns 
2877GAT[983] na2a0 (4665,4900)~1.50553e-09ns  n213{91}~5.51122e-10ns  n211{377}~1.04194e-09ns 
n215 nota0 (6056,3100)~0ns  375GAT[22]{218}~4.80297e-10ns 
n216 no2a0 (4756,4200)~1.50553e-09ns  Buffer_n215_5_n216{342}~9.83162e-10ns  Buffer_n65_2_n216{376}~1.04027e-09ns 
n217 nota0 (4780,4400)~0ns  n216{224}~7.81595e-10ns 
n218 na2a0 (5120,4800)~1.50553e-09ns  n211{178}~7.01948e-10ns  n205{191}~7.24492e-10ns 
n219 no2a0 (4847,4600)~1.50553e-09ns  Buffer_n162_11_n219{397}~1.0753e-09ns  n68{400}~1.08029e-09ns 
n220 nota0 (4938,4600)~0ns  n219{91}~5.51122e-10ns 
n221 na2a0 (5236,4400)~1.50553e-09ns  n202{91}~5.51122e-10ns  n196{260}~8.43588e-10ns 
n222 no2a0 (5539,3800)~1.50553e-09ns  Buffer_n121_13_n222{382}~1.05029e-09ns  Buffer_n83_1_n222{368}~1.02687e-09ns 
n223 nota0 (5800,3900)~0ns  n222{361}~1.01513e-09ns 
n224 na2a0 (5718,4100)~1.50553e-09ns  n193{169}~6.8633e-10ns  Buffer_n187_0_n224{371}~1.0319e-09ns 
n225 no2a0 (5650,3800)~1.50553e-09ns  Buffer_n94_15_n225{389}~1.06198e-09ns  Buffer_n102_2_n225{300}~9.11985e-10ns 
n226 nota0 (5773,3700)~0ns  n225{223}~7.79868e-10ns 
n227 na2a0 (5617,3200)~1.50553e-09ns  n183{338}~9.76413e-10ns  n181{400}~1.08029e-09ns 
n228 na2a0 (5962,2900)~1.50553e-09ns  Buffer_307GAT[18]_11_n228{381}~1.04862e-09ns  Buffer_69GAT[4]_20_n228{385}~1.0553e-09ns 
n229 no2a0 (5669,2700)~1.50553e-09ns  Buffer_n70_5_n229{373}~1.03525e-09ns  n176{310}~9.28993e-10ns 
n230 na2a0 (5708,2500)~1.50553e-09ns  n229{239}~8.0747e-10ns  Buffer_n133_0_n230{216}~7.67773e-10ns 
n231 na2a0 (5890,2500)~1.50553e-09ns  Buffer_290GAT[17]_9_n231{372}~1.03357e-09ns  Buffer_86GAT[5]_2_n231{326}~9.56128e-10ns 
n232 nota0 (5434,2200)~0ns  Buffer_103GAT[6]_11_n232{377}~1.04194e-09ns 
n233 no2a0 (5642,2400)~1.50553e-09ns  Buffer_n66_4_n233{373}~1.03525e-09ns  Buffer_n232_0_n233{204}~7.47013e-10ns 
n234 na2a0 (5799,2500)~1.50553e-09ns  n233{257}~8.38437e-10ns  n231{91}~5.51122e-10ns 
n235 na2a0 (5915,2200)~1.50553e-09ns  Buffer_273GAT[16]_6_n235{380}~1.04695e-09ns  Buffer_103GAT[6]_12_n235{384}~1.05363e-09ns 
n236 na2a0 (5981,2500)~1.50553e-09ns  n235{366}~1.02352e-09ns  Buffer_n229_0_n236{256}~8.36719e-10ns 
n237 na3a0 (5739,2600)~2.42708e-09ns  n236{342}~9.83162e-10ns  n234{160}~6.70707e-10ns  n230{131}~6.20368e-10ns 
n238 na3a0 (5908,2600)~2.42708e-09ns  Buffer_n235_0_n238{203}~7.45281e-10ns  n229{339}~9.78101e-10ns  Buffer_n133_0_n238{266}~8.53882e-10ns 
n239 na3a0 (5929,2700)~2.42708e-09ns  n238{121}~6.03026e-10ns  n237{290}~8.94938e-10ns  n228{233}~7.97127e-10ns 
n240 nota0 (5949,2900)~0ns  n228{13}~4.18116e-10ns 
n241 na2a0 (5929,2800)~1.50553e-09ns  n238{221}~7.76414e-10ns  n237{390}~1.06364e-09ns 
n242 na2a0 (5838,2800)~1.50553e-09ns  n241{91}~5.51122e-10ns  n240{211}~7.59126e-10ns 
n243 na3a0 (5760,2700)~2.42708e-09ns  n242{178}~7.01948e-10ns  n239{169}~6.8633e-10ns  Buffer_n227_0_n243{321}~9.47659e-10ns 
n244 nota0 (5596,3300)~0ns  Buffer_n181_0_n244{239}~8.0747e-10ns 
n245 no2a0 (5505,3300)~1.50553e-09ns  n185{91}~5.51122e-10ns  n184{104}~5.73585e-10ns 
n246 no2a0 (5609,3300)~1.50553e-09ns  n245{104}~5.73585e-10ns  n244{13}~4.18116e-10ns 
n247 na2a0 (6020,2800)~1.50553e-09ns  n242{182}~7.08887e-10ns  n239{191}~7.24492e-10ns 
n248 na2a0 (5968,3200)~1.50553e-09ns  Buffer_n247_0_n248{226}~7.85049e-10ns  Buffer_n246_0_n248{229}~7.90227e-10ns 
n249 na3a0 (5786,3700)~2.42708e-09ns  Buffer_n248_0_n249{341}~9.81475e-10ns  Buffer_n243_1_n249{342}~9.83162e-10ns  n226{13}~4.18116e-10ns 
n250 na2a0 (5955,3700)~1.50553e-09ns  Buffer_n248_0_n250{256}~8.36719e-10ns  Buffer_n243_1_n250{398}~1.07696e-09ns 
n251 na2a0 (5941,3800)~1.50553e-09ns  n250{114}~5.90896e-10ns  n225{291}~8.96645e-10ns 
n252 na3a0 (5902,4000)~2.42708e-09ns  n251{239}~8.0747e-10ns  Buffer_n249_0_n252{208}~7.53936e-10ns  n224{284}~8.84693e-10ns 
n253 nota0 (5588,4200)~0ns  Buffer_n187_0_n253{356}~1.00673e-09ns 
n254 no2a0 (5497,4200)~1.50553e-09ns  n194{152}~6.56818e-10ns  n169{243}~8.1436e-10ns 
n255 no2a0 (5601,4200)~1.50553e-09ns  n254{104}~5.73585e-10ns  n253{13}~4.18116e-10ns 
n256 na2a0 (5904,3900)~1.50553e-09ns  n251{137}~6.30779e-10ns  n249{318}~9.42573e-10ns 
n257 na2a0 (5809,4100)~1.50553e-09ns  n256{295}~9.03466e-10ns  n255{308}~9.25595e-10ns 
n258 na3a0 (5733,4000)~2.42708e-09ns  n257{176}~6.98478e-10ns  n252{169}~6.8633e-10ns  n223{167}~6.82858e-10ns 
n259 na2a0 (5813,3900)~1.50553e-09ns  n257{204}~7.47013e-10ns  n252{189}~7.21025e-10ns 
n260 na2a0 (5605,3900)~1.50553e-09ns  n259{208}~7.53936e-10ns  n222{166}~6.81122e-10ns 
n261 na3a0 (5209,4300)~2.42708e-09ns  Buffer_n260_0_n261{398}~1.07696e-09ns  Buffer_n258_1_n261{274}~8.6759e-10ns  n221{127}~6.1343e-10ns 
n262 nota0 (5393,4500)~0ns  n196{203}~7.45281e-10ns 
n263 no2a0 (5211,4500)~1.50553e-09ns  n203{208}~7.53936e-10ns  n166{282}~8.81275e-10ns 
n264 no2a0 (5302,4500)~1.50553e-09ns  n263{91}~5.51122e-10ns  n262{91}~5.51122e-10ns 
n265 na2a0 (5378,4300)~1.50553e-09ns  Buffer_n260_0_n265{313}~9.34089e-10ns  Buffer_n258_0_n265{327}~9.57821e-10ns 
n266 na2a0 (5302,4600)~1.50553e-09ns  n265{376}~1.04027e-09ns  n264{100}~5.66668e-10ns 
