1GAT[0] PRI_INPUT (2109,1701)
n239 no2a0 (739,600)~1.50553e-09ns  n238{143}~6.41193e-10ns  n233{91}~5.51122e-10ns 
n240 no2a0 (1336,1000)~1.50553e-09ns  Buffer_n239_1_n240{332}~9.66278e-10ns  n141{235}~8.00576e-10ns 
n241 no2a0 (453,600)~1.50553e-09ns  n88{284}~8.84693e-10ns  n90{228}~7.88501e-10ns 
n242 na2a0 (497,400)~1.50553e-09ns  n241{244}~8.16081e-10ns  Buffer_447GAT[182]_0_n242{247}~8.21245e-10ns 
n243 nota0 (861,300)~0ns  Buffer_268GAT[59]_2_n243{311}~9.30692e-10ns 
n244 na2a0 (874,300)~1.50553e-09ns  n243{13}~4.18116e-10ns  Buffer_55GAT[9]_2_n244{379}~1.04528e-09ns 
n245 no2a0 (965,300)~1.50553e-09ns  n244{91}~5.51122e-10ns  Buffer_n242_0_n245{284}~8.84693e-10ns 
n246 no2a0 (1352,700)~1.50553e-09ns  Buffer_n245_0_n246{393}~1.06864e-09ns  n240{316}~9.39181e-10ns 
n247 na2a0 (1840,700)~1.50553e-09ns  Buffer_n246_0_n247{244}~8.16081e-10ns  Buffer_n228_0_n247{365}~1.02184e-09ns 
n248 na2a0 (1911,900)~1.50553e-09ns  n247{271}~8.62452e-10ns  Buffer_201GAT[47]_0_n248{256}~8.36719e-10ns 
n249 na3a0 (1931,700)~2.42708e-09ns  Buffer_n246_0_n249{289}~8.93232e-10ns  Buffer_n228_1_n249{274}~8.6759e-10ns  n186{113}~5.89164e-10ns 
n250 na2a0 (1970,1100)~1.50553e-09ns  Buffer_n249_0_n250{219}~7.72958e-10ns  Buffer_261GAT[57]_0_n250{329}~9.61205e-10ns 
n251 nota0 (1957,1100)~0ns  n250{13}~4.18116e-10ns 
n252 na2a0 (1866,1100)~1.50553e-09ns  n251{91}~5.51122e-10ns  n248{245}~8.17803e-10ns 
n253 nota0 (2035,1300)~0ns  261GAT[57]{394}~6.66553e-10ns 
n254 na2a0 (1954,1000)~1.50553e-09ns  n249{323}~9.51048e-10ns  n248{143}~6.41193e-10ns 
n255 na2a0 (1996,1200)~1.50553e-09ns  n254{242}~8.12638e-10ns  n253{139}~6.3425e-10ns 
n256 na3a0 (1827,1200)~2.42708e-09ns  n255{169}~6.8633e-10ns  n252{139}~6.3425e-10ns  Buffer_219GAT[50]_1_n256{332}~9.66278e-10ns 
n257 nota0 (1982,0)~0ns  228GAT[51]{13}~2.60389e-10ns 
n258 no2a0 (1736,1200)~1.50553e-09ns  Buffer_n254_0_n258{209}~7.55666e-10ns  Buffer_n257_2_n258{361}~1.01513e-09ns 
n259 nota0 (1898,900)~0ns  n248{13}~4.18116e-10ns 
n260 na2a0 (1807,900)~1.50553e-09ns  n259{91}~5.51122e-10ns  Buffer_237GAT[52]_4_n260{340}~9.79788e-10ns 
n261 na2a0 (1846,800)~1.50553e-09ns  n247{106}~5.77045e-10ns  Buffer_246GAT[53]_5_n261{364}~1.02017e-09ns 
n262 nota0 (1301,1400)~0ns  Buffer_73GAT[13]_0_n262{262}~8.47021e-10ns 
n263 na2a0 (1007,1400)~1.50553e-09ns  Buffer_72GAT[12]_0_n263{228}~7.88501e-10ns  Buffer_42GAT[7]_4_n263{376}~1.04027e-09ns 
n264 no2a0 (1210,1400)~1.50553e-09ns  n263{203}~7.45281e-10ns  n262{91}~5.51122e-10ns 
n265 na2a0 (1235,1100)~1.50553e-09ns  n264{325}~9.54435e-10ns  Buffer_n128_0_n265{280}~8.77856e-10ns 
n266 no2a0 (1645,700)~1.50553e-09ns  Buffer_n265_1_n266{270}~8.60739e-10ns  n186{399}~1.07863e-09ns 
n267 na2a0 (1547,900)~1.50553e-09ns  Buffer_210GAT[49]_0_n267{398}~1.07696e-09ns  Buffer_121GAT[29]_1_n267{319}~9.44269e-10ns 
n268 na2a0 (1957,800)~1.50553e-09ns  267GAT[58]{162}~4.19857e-10ns  Buffer_255GAT[54]_3_n268{361}~1.01513e-09ns 
n269 na2a0 (1573,800)~1.50553e-09ns  n268{384}~1.05363e-09ns  n267{126}~6.11695e-10ns 
n270 no2a0 (1664,800)~1.50553e-09ns  n269{91}~5.51122e-10ns  n266{119}~5.99559e-10ns 
n271 na3a0 (1638,900)~2.42708e-09ns  n270{126}~6.11695e-10ns  n261{308}~9.25595e-10ns  n260{169}~6.8633e-10ns 
n272 no2a0 (1736,1300)~1.50553e-09ns  Buffer_n271_0_n272{249}~8.24685e-10ns  n258{100}~5.66668e-10ns 
850GAT[404] na2a0 (1866,1300)~1.50553e-09ns  n272{130}~6.18633e-10ns  n256{139}~6.3425e-10ns 
n274 no2a0 (1333,500)~1.50553e-09ns  Buffer_n239_0_n274{347}~9.91589e-10ns  n150{120}~6.01292e-10ns 
n275 nota0 (1379,200)~0ns  Buffer_n245_0_n275{257}~8.38437e-10ns 
n276 na2a0 (1239,0)~1.50553e-09ns  n227{114}~5.90896e-10ns  Buffer_143GAT[34]_0_n276{334}~9.69658e-10ns 
n277 na2a0 (1616,0)~1.50553e-09ns  n276{377}~1.04194e-09ns  Buffer_n275_0_n277{218}~7.7123e-10ns 
n278 no2a0 (1288,200)~1.50553e-09ns  Buffer_n277_0_n278{264}~8.50452e-10ns  n274{345}~9.88219e-10ns 
n279 na2a0 (482,200)~1.50553e-09ns  Buffer_n278_1_n279{268}~8.57311e-10ns  Buffer_n195_0_n279{396}~1.07364e-09ns 
n280 nota0 (313,100)~0ns  n279{269}~8.59025e-10ns 
n281 no2a0 (196,200)~1.50553e-09ns  Buffer_n278_1_n281{364}~1.02017e-09ns  Buffer_n195_1_n281{359}~1.01177e-09ns 
n282 no2a0 (222,100)~1.50553e-09ns  n281{126}~6.11695e-10ns  n280{91}~5.51122e-10ns 
n283 na2a0 (1863,1000)~1.50553e-09ns  n250{207}~7.52205e-10ns  n248{148}~6.49873e-10ns 
n284 no2a0 (1515,500)~1.50553e-09ns  Buffer_n239_1_n284{292}~8.98351e-10ns  n151{146}~6.46401e-10ns 
n285 nota0 (1509,200)~0ns  n284{306}~9.22194e-10ns 
n286 na2a0 (1426,0)~1.50553e-09ns  n227{301}~9.13687e-10ns  Buffer_146GAT[35]_0_n286{382}~1.05029e-09ns 
n287 na3a0 (1316,100)~2.42708e-09ns  n286{210}~7.57396e-10ns  n285{293}~9.00056e-10ns  n275{163}~6.75915e-10ns 
n288 no2a0 (1225,400)~1.50553e-09ns  n287{391}~1.06531e-09ns  Buffer_189GAT[45]_2_n288{352}~1.00001e-09ns 
n289 no2a0 (1366,1100)~1.50553e-09ns  Buffer_n239_1_n289{375}~1.03859e-09ns  n139{139}~6.3425e-10ns 
n290 nota0 (1561,700)~0ns  Buffer_n289_0_n290{297}~9.06875e-10ns 
n291 na2a0 (1711,0)~1.50553e-09ns  Buffer_n227_0_n291{293}~9.00056e-10ns  Buffer_149GAT[36]_1_n291{321}~9.47659e-10ns 
n292 na3a0 (1485,100)~2.42708e-09ns  n291{326}~9.56128e-10ns  Buffer_n290_0_n292{338}~9.76413e-10ns  n275{206}~7.50475e-10ns 
n293 no2a0 (1745,100)~1.50553e-09ns  n292{260}~8.43588e-10ns  195GAT[46]{135}~3.90668e-10ns 
